rank,company,country,count,sector,value
359,Woodside Petroleum,Australia,11226,Oil & gas producers,29796.9
360,SEB,Sweden,192299,Banks,29737.7
361,Husky Energy,Canada,19307,Oil & gas producers,29547.3
362,Delta Air Lines,US,#N/A,Travel & leisure,29431
363,Carnival,US/UK,12289752,Travel & leisure,29418.9
364,Regeneron Pharmaceuticals,US,213881,Pharmaceuticals & biotechnology,29399.8
365,East Japan Railway,Japan,#N/A,Travel & leisure,29172.9
366,Industrial Bank,China,10249,Banks,29169.8
367,Shanghai Pudong Development Bank,China,#N/A,Banks,29159.1
368,CSX,US,697285,Industrial transportation,29126
369,Public Storage,US,113629,Real estate investment trusts,29031.6
370,Sampo,Finland,95544,Nonlife insurance,28996.4
371,Corning,US,2055198,Technology hardware & equipment,28957.5
372,Banco Brasil,Brazil,1099,Banks,28952.7
373,Safran,France,275911,Aerospace & defence,28904.9
374,Bridgestone,Japan,5021357,Automobiles & parts,28896.9
375,Shire,UK,2362254,Pharmaceuticals & biotechnology,28866.9
376,Hyundai Mobis,South Korea,25719,Automobiles & parts,28806.7
377,Exelon,US,208785,Electricity,28775
378,Renault,France,6215635,Automobiles & parts,28750.3
379,Aflac,US,260165,Life insurance,28669.5
380,Reynolds American,US,212853,Tobacco,28658.6
381,BB&T,US,#N/A,Banks,28569.7
382,Archer Daniels Midland,US,#N/A,Food producers,28453.6
383,Baker Hughes,US,321774,Oil equipment & services,28360.4
384,DNB,Norway,652338,Banks,28320.8
385,Valero Energy,US,71425,Oil & gas producers,28286.7
386,Gas Natural,Spain,71217,"Gas, water & multiutilities",28149.1
387,Wellpoint,US,43970,Health care equipment & services,28118.8
388,Danske Bank,Denmark,66298,Banks,28115.3
389,Carrefour,France,511940,Food & drug retailers,28033.7
390,Yahoo Japan,Japan,112450,Software & computer services,27980.8
391,Panasonic,Japan,23105964,Leisure goods,27940.3
392,Thomson Reuters,Canada,2295770,Media,27929.9
393,Nokia,Finland,26403362,Technology hardware & equipment,27820.3
394,Centrica,UK,47314,"Gas, water & multiutilities",27810
395,Williams Cos.,US,#N/A,Oil equipment & services,27773.6
396,Luxottica,Italy,209917,Personal goods,27636.6
397,Great West Lifeco,Canada,#N/A,Life insurance,27582.7
398,WPP,UK,218701,Media,27540.9
399,Investor,Sweden,23987536,Financial services,27486.1
400,Twitter,US,504781131,Software & computer services,27459.6
401,Cummins,US,3272630,Industrial engineering,27396.1
402,United Overseas Bank,Singapore,#N/A,Banks,27382.3
403,Discover Financial Services,US,#N/A,Financial services,27324
404,Devon Energy,US,247734,Oil & gas producers,27267.3
405,V F,US,632240,Personal goods,27250
406,Compass Group,UK,242084,Travel & leisure,27225.1
407,Aetna,US,1259457,Health care equipment & services,27191.6
408,Astellas Pharma,Japan,34345,Pharmaceuticals & biotechnology,27155.6
409,Holcim,Switzerland,58445,Construction & materials,27105
410,Marsh & Mclennan,US,#N/A,Nonlife insurance,27084
